metric_item_label,metric_cat_label,metric_item_label_subtitle,metric_cat_item_yaxis_label,geo_label_city,geo_label_state,geo_fips_code,value,date_label,geo_label_proxy_or_real,value_95_ci_low,value_95_ci_high,geo_strata_region,geo_strata_poverty,geo_strata_Population,geo_strata_PopDensity,geo_strata_Segregation,strata_race_label,strata_sex_label,persons_or_years
6.0,1.0,10.0,1.0,17.0,1.0,644.0,2.1978199109999998e-05,2018.0,1.0,1.768466843e-05,2.7114200089999997e-05,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
2.0,0.0,6.0,1.0,13.0,5.0,1836.003,0.003210876045,2012.0,1.0,0.003074489993,0.003352233183,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0
7.0,0.0,7.0,1.0,2.0,7.0,2507.0,0.0017349915020000001,2010.0,1.0,0.0016119453440000002,0.0018656442179999998,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
10.0,0.0,8.0,1.0,7.0,20.0,4819.0,0.00011791370150000001,2018.0,1.0,9.266050167e-05,0.0001486222905,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
2.0,0.0,6.0,1.0,11.0,20.0,4827.0,0.002511345704,2014.0,1.0,0.002418349052,0.0026075099599999997,2.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0
14.0,1.0,9.0,1.0,22.0,14.0,3651.0,0.0002349531622,2015.0,1.0,0.0002292022308,0.0002408263886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,3.0,1.0,16.0,1.0,643.0,0.0001961374151,2013.0,1.0,0.0001468963526,0.0002596985899,3.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0
7.0,0.0,7.0,1.0,28.0,20.0,4865.0,0.002188650984,2011.0,1.0,0.002074784589,0.00230779889,2.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0
3.0,0.0,3.0,1.0,12.0,20.0,4835.0,0.0001714101976,2019.0,1.0,0.0001549084195,0.0001895834452,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
6.0,1.0,10.0,1.0,0.0,20.0,4805.0,0.0001890948812,2011.0,1.0,0.0001094260234,0.0003135800902,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
4.0,3.0,4.0,1.0,30.0,1.0,667.0,9.513773409e-05,2018.0,1.0,6.789880117e-05,0.0001328830054,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0
4.0,3.0,4.0,1.0,10.0,20.0,4824.0,0.000234233777,2016.0,1.0,0.0001517526131,0.0003494077455,2.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0
5.0,4.0,5.0,1.0,12.0,20.0,4835.0,0.0003435883614,2016.0,1.0,0.0003149956966,0.0003745473528,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
11.0,2.0,13.0,1.0,18.0,6.0,2148.006,0.0003129988419,2015.0,1.0,0.00019118782410000002,0.0004834013256,2.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0
2.0,0.0,6.0,1.0,1.0,8.0,2404.0,0.0009645072892000001,2014.0,1.0,0.00044464624639999994,0.002081876824,2.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0
2.0,0.0,6.0,1.0,32.0,21.0,5363.0,0.003275206258,2012.0,1.0,0.002785901596,0.003836550729,3.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
5.0,4.0,5.0,1.0,34.0,3.0,1150.0,0.0004248341458,2013.0,1.0,0.0003656343464,0.0004919818551,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
10.0,0.0,8.0,1.0,32.0,21.0,5363.0,0.0002783959831,2020.0,1.0,0.0001394124739,0.0005278019995,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
4.0,3.0,4.0,1.0,0.0,20.0,4805.0,0.0002016506493,2019.0,1.0,0.0001799592743,0.0002264249178,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
7.0,0.0,7.0,1.0,7.0,20.0,4819.0,0.0032680872299999998,2016.0,1.0,0.003072706822,0.003474895242,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
6.0,1.0,10.0,1.0,31.0,1.0,668.0,1.228352801e-05,2018.0,1.0,6.08996428e-06,2.2818759640000003e-05,3.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
3.0,0.0,3.0,1.0,10.0,20.0,4824.0,0.0003357266543,2012.0,1.0,0.0001910149028,0.0005610625881,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
4.0,3.0,4.0,1.0,11.0,20.0,4827.0,0.0001236294557,2015.0,1.0,9.456628461999999e-05,0.0001596650609,2.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0
5.0,4.0,5.0,1.0,12.0,20.0,4835.0,0.0002339837813,2020.0,1.0,0.0002048721883,0.000269684115,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0
14.0,1.0,9.0,1.0,10.0,20.0,4824.0,7.165391690999999e-05,2010.0,1.0,5.112563543e-05,9.821441626e-05,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0
3.0,0.0,3.0,1.0,28.0,20.0,4865.0,0.00043057248440000003,2016.0,1.0,0.00038850693399999995,0.0004763719313,2.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0
5.0,4.0,5.0,1.0,31.0,1.0,668.0,0.0002275475912,2014.0,1.0,0.00011330175580000001,0.0004102736752,3.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
4.0,3.0,4.0,1.0,25.0,18.0,4260.0,5.6772075439999995e-05,2019.0,1.0,2.8845991830000002e-05,0.0001018223459,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
14.0,1.0,9.0,1.0,17.0,1.0,644.0,0.0001546743009,2016.0,1.0,0.0001408050935,0.00017066743110000002,3.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
5.0,4.0,5.0,1.0,3.0,12.0,3712.0,0.00013176438929999999,2011.0,1.0,0.0001084683538,0.00015954714409999998,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
10.0,0.0,8.0,1.0,0.0,20.0,4805.0,0.00019297843360000002,2015.0,1.0,0.0001066668975,0.0003416218188,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
3.0,0.0,3.0,1.0,12.0,20.0,4835.0,0.00040851291619999996,2010.0,1.0,0.00034334684070000003,0.00048483218630000004,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
3.0,0.0,3.0,1.0,2.0,7.0,2507.0,0.0001689659001,2015.0,1.0,0.0001301102653,0.0002167908882,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0
13.0,3.0,14.0,1.0,34.0,3.0,1150.0,0.0004578709892,2015.0,1.0,0.0003984938033,0.0005248221873,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
9.0,4.0,0.0,1.0,30.0,1.0,667.0,0.001018981624,2018.0,1.0,0.0007913943530000001,0.001298897815,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
5.0,4.0,5.0,1.0,13.0,5.0,1836.003,0.0002895210831,2019.0,1.0,0.0002686622283,0.0003117238724,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,0.0,3.0,1.0,30.0,1.0,667.0,0.0001557736442,2013.0,1.0,0.00010010746709999999,0.0002333666828,3.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
7.0,0.0,7.0,1.0,14.0,11.0,2938.0,0.001306525939,2015.0,1.0,0.001230335414,0.001386844083,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
10.0,0.0,8.0,1.0,17.0,1.0,644.0,0.0005712993463,2014.0,1.0,0.0005057800657,0.0006435913775,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
14.0,1.0,9.0,1.0,5.0,15.0,3916.0,0.000154286222,2012.0,1.0,0.0001247848074,0.00018973064099999997,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
4.0,3.0,4.0,1.0,25.0,18.0,4260.0,0.0005796605151,2017.0,1.0,0.0005574818045,0.0006025810955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,6.0,1.0,9.0,9.0,2622.0,0.002989201727,2017.0,1.0,0.002779799689,0.003213355145,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0
